"measure","n","cor","mean_old","mean_new","mean_diff_new_minus_old","max_abs_diff"
"FULL_Addictive_core",243,1,2.56867283950617,2.56867283950617,0,0
"FULL_Engagement_core",243,1,3.87517146776406,3.87517146776406,0,0
"TRIM_Addictive_core",243,1,2.56927297668038,2.56927297668038,0,0
"TRIM_Engagement_core_legacy",247,1,4.20698380566802,4.20698380566802,0,0
"FACET_Salience",245,1,3.36428571428571,3.36428571428571,0,0
"FACET_Mood",247,1,4.78036437246964,4.78036437246964,0,0
"FACET_Conflict",245,1,2.11122448979592,2.11122448979592,0,0
"HUMS_healthy",247,1,4.017004048583,4.017004048583,0,0
"Fscore_OLD_F1_vs_NEW_listwise_addictive",243,0.998969130778511,-0.00924984425436544,-0.011924327328135,-0.0026744830737695,0.116100267298528
"Fscore_OLD_F1_vs_NEW_listwise_engagement",243,0.0589283867505121,-0.00924984425436544,-0.00729429117537156,0.00195555307899397,3.51166423187668
"Fscore_OLD_F2_vs_NEW_listwise_addictive",243,0.0562897001413268,-0.00947546803935234,-0.011924327328135,-0.00244885928878274,3.49657083058151
"Fscore_OLD_F2_vs_NEW_listwise_engagement",243,0.999818685236613,-0.00947546803935234,-0.00729429117537156,0.00218117686398078,0.0600194991948108
"Fscore_OLD_F1_vs_NEW_roughfix_addictive",243,0.999653051171267,-0.00924984425436544,-0.0135912560031538,-0.00434141174878837,0.0825821690929968
"Fscore_OLD_F1_vs_NEW_roughfix_engagement",243,0.0584399438922147,-0.00924984425436544,-0.00759317062807173,0.00165667362629378,3.49654625666886
"Fscore_OLD_F2_vs_NEW_roughfix_addictive",243,0.0588236174093343,-0.00947546803935234,-0.0135912560031538,-0.0041157879638016,3.50131554469016
"Fscore_OLD_F2_vs_NEW_roughfix_engagement",243,0.999969971904663,-0.00947546803935234,-0.00759317062807173,0.00188229741128062,0.0286389762509607
