StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q3	Q4	Q5	Q5_9_TEXT	Q6	Q7	HUMS1	HUMS2	HUMS3	HUMS4	HUMS5	HUMS6	HUMS7	HUMS8	HUMS9	HUMS10	HUMS11	HUMS12	HUMS13	MAS1	MAS2	MAS3	MAS4	MAS5	MAS6	MAS7	MAS8	MAS9	MAS10	MAS11	MAS12	MAS13	MAS14	MAS15	MAS16	MAS17	MAS18	MAS19	MAS20	MAS21	MAS22	MAS23	MAS24	MAS25	MAS26	MAS27	MAS28	GOLD1-AE	GOLD2-AE	GOLD3-AE	GOLD4-AE	GOLD5-AE	GOLD6-AE	GOLD7-AE	GOLD8-AE	GOLD9-AE	GOLD1-MT	GOLD2-MT	GOLD3-MT	GOLD4-MT	GOLD5-MT	GOLD6-MT	GOLD7-MT
		IP Address		97	1558	True		SYN_0001							anonymous	EN	I consent to participate in this study	48	Prefer not to say	High school	Other		Intermediate	Country C	Sometimes	Sometimes	Almost never	Almost never	Never	Almost never	Sometimes	Never	Often	Never	Never	Never	Sometimes	Completely disagree	Strongly agree	Strongly disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Strongly disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Strongly disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Strongly agree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Strongly disagree	Agree	Strongly disagree	Disagree	11 or more	Strongly disagree	Strongly agree	4 hrs or more	Completely agree	Strongly disagree	2	0	Agree	2	1	1	Strongly agree
		IP Address		94	238	True		SYN_0002							anonymous	EN	I consent to participate in this study	32	Male	Master's degree	Other		Native	Country C	Almost never	Never	Never	Never	Never	Often	Almost never	Sometimes	Almost never	Almost never	Never	Never	Never	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Completely disagree	Agree	Completely disagree	Completely disagree	Agree	Agree	Neither agree nor disagree	Disagree	Completely disagree	Disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Disagree	Strongly disagree	Agree	Completely disagree	Agree	3	Neither agree nor disagree	Strongly disagree	60-90 min	Strongly agree	Disagree	4-5	5 or more	Strongly disagree	7 or more	1	6 or more	Strongly disagree
		IP Address		99	315	True		SYN_0003							anonymous	EN	I consent to participate in this study	45	Male	Bachelor's degree	Other		Intermediate	Country A	Never	Sometimes	Always	Sometimes	Never	Almost never	Never	Always	Always	Almost never	Often	Never	Sometimes	Strongly disagree	Completely disagree	Strongly agree	Strongly agree	Strongly disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly disagree	Strongly agree	Disagree	Disagree	Agree	Strongly agree	Completely disagree	Strongly agree	Disagree	Disagree	Completely disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Strongly agree	Completely disagree	Strongly disagree	Agree	2	Strongly disagree	Agree	2-3 hrs	Strongly disagree	Strongly agree	6-9	3-4	Strongly agree	4-6	2	4	Completely agree
		IP Address		96	264	True		SYN_0004							anonymous	EN	I consent to participate in this study	26	Female	High school	Other		Elementary	Country B	Often	Often	Sometimes	Never	Almost never	Almost never	Often	Often	Almost never	Often	Never	Almost never	Often	Agree	Strongly agree	Neither agree nor disagree	Disagree	Strongly disagree	Neither agree nor disagree	Strongly agree	Strongly disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Agree	Strongly disagree	Disagree	Disagree	Neither agree nor disagree	Strongly disagree	Disagree	Completely disagree	Completely disagree	Agree	Strongly disagree	Agree	Strongly disagree	Agree	Agree	Disagree	3	Disagree	Agree	2 hrs	Completely agree	Strongly disagree	0	1	Completely disagree	7 or more	2	5	Agree
		IP Address		92	1402	True		SYN_0005							anonymous	EN	I consent to participate in this study	33	Prefer not to say	Doctorate	English		Advanced	Country A	Always	Often	Sometimes	Always	Always	Almost never	Always	Always	Always	Almost never	Often	Sometimes	Always	Disagree	Completely disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Completely agree	Neither agree nor disagree	Strongly agree	Completely agree	Strongly agree	Completely agree	Completely agree	Completely agree	Strongly agree	Completely agree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Completely agree	Completely agree	Completely agree	Disagree	Agree	Completely agree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	4-6	Completely agree	Completely disagree	4 hrs or more	prefer not to say	Strongly disagree	4-5	3-4	Neither agree nor disagree	7 or more	3-5	2	Agree
		IP Address		92	923	True		SYN_0006							anonymous	EN	I consent to participate in this study	51	Male	Doctorate	English		Intermediate	Country C	Almost never	Always	Almost never	Often	Often	Always	Almost never	Sometimes	Often	Always	Always	Always	Always	Completely agree	Strongly agree	Neither agree nor disagree	Disagree	Strongly agree	Completely agree	Disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Completely agree	Neither agree nor disagree	Strongly agree		Neither agree nor disagree	Completely agree	Agree	Strongly agree	Neither agree nor disagree	Disagree	Agree	Agree	Strongly agree	Completely agree	Completely agree	Strongly agree	Strongly disagree	prefer not to say	Disagree	Completely agree	0	Disagree	prefer not to say	30-60 min	Completely agree	prefer not to say	2	0.5	Neither agree nor disagree	4-6	1	0	Completely disagree
		IP Address		98	1765	True		SYN_0007							anonymous	EN	I consent to participate in this study	63	Male	High school	Other		Native	Country B	Often		Never	Almost never	Never	Never	Never	Almost never	Sometimes	Sometimes	Never	Sometimes	Never	Completely disagree	Neither agree nor disagree	Completely disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Disagree	Agree	Strongly disagree	Disagree	Disagree	Completely disagree	Completely agree	Disagree	Completely disagree	Completely disagree	Agree	Completely disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Disagree		Strongly agree	Completely disagree	Completely disagree	prefer not to say	Strongly disagree	Strongly agree	7-10	Strongly disagree	Disagree	prefer not to say	Completely agree	Disagree	10 or more	1	Neither agree nor disagree	1	3-5	2	Agree
		IP Address		93	1361	True		SYN_0008							anonymous	EN	I consent to participate in this study	34	Male	High school	English		Advanced	Country A	Always	Sometimes	Almost never	Sometimes	Almost never	Often	Never	Never	Sometimes	Always	Often	Often	Always	Agree	Completely disagree	Agree	Strongly disagree	Strongly agree	Completely agree	Agree	Agree	Completely agree	Agree	Strongly agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Completely disagree	Agree	Strongly disagree	Neither agree nor disagree	Completely agree	Strongly disagree	Disagree	Strongly disagree	Completely disagree	Agree	Disagree	Completely disagree	2	Strongly agree	Strongly disagree	30-60 min	prefer not to say	Completely disagree	6-9	5 or more	Agree	0.5	0.5	5	Agree
		IP Address		96	354	True		SYN_0009							anonymous	EN	I consent to participate in this study	63	Female	High school	English		Advanced	Country B	Never	Always	Almost never	Sometimes	Never	Almost never	Sometimes	Often	Always	Never	Almost never	Sometimes	Almost never	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Neither agree nor disagree	Strongly disagree	Completely agree	Agree	Agree	Strongly disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Disagree	Strongly disagree	Agree	Strongly disagree	Completely agree	Completely agree	Agree	Completely disagree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Strongly agree	Neither agree nor disagree	Agree	Completely agree	Disagree	4-6	Completely disagree	Neither agree nor disagree	0-15 min	Completely disagree	Completely disagree	6-9	3-4	Strongly disagree	4-6	3-5	6 or more	Completely disagree
		IP Address		99	1675	True		SYN_0010							anonymous	EN	I consent to participate in this study	54	Female	Bachelor's degree	Other		Intermediate	Country B	Often		Often	Always	Always	Almost never	Always	Always	Sometimes	Always	Always	Sometimes	Sometimes	Neither agree nor disagree	Completely agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Agree	Agree	Completely agree	Strongly agree	Strongly agree	Agree	Completely agree	Completely agree	Strongly agree	Completely agree	Disagree	Strongly agree	Completely agree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly agree	Agree	Strongly disagree	Agree	Completely agree	Strongly agree	Strongly agree	2	Neither agree nor disagree	Completely disagree	2 hrs	Disagree	Agree	3	0.5	Completely disagree	2	3-5	2	prefer not to say
